dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10009413,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009413",D002382,,"Double Rainbow Or Richmond - Sitting Bull",44.33329,-103.62557,NA,"United States","South Dakota",Lawrence,M,"Zinc, Gold, Lead, Silver",,,Unknown,,M,Producer,Chalcopyrite,,,,,,,,,,"Hasler, J. William",,Dolomite,,,,,"GARSKE D., WYOMING GEOL. ASSOC. GUIDEBOOK 1968 BLACK HILLS AREA",,,,,,,,
10009696,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009696",D002804,,"Hayes Group Claims",44.32107,-103.6439,NA,"United States","South Dakota",Lawrence,M,"Lead, Silver",,,Unknown,,S,Producer,"Chalcopyrite, Galena, Tetrahedrite",,,,,,,,,,"Hasler, J. William",,Dolomite,,,,,"U. S. BUR MINES I. C. 7688WYOMING GEOL. ASSOC. GUIDEBOOK 1968 PAGES 177, 178",,,,,,,,
10055459,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055459",SD02011,,"Silver Queen Mine",44.31635,-103.64196,NA,"United States","South Dakota",Lawrence,M,Silver,"Lead, Gold",,Unknown,Replacement,S,"Past Producer",Gold,"Chalcopyrite, Dolomite, Freibergite, Quartz, Quartzite, Siderite, Sphalerite",,"SMALL LENTICULAR DEPOSITS  CONFORMABLE WITH THE BEDDING  CONFORMABLE WITH THE BEDDING",Underground,,"Thoroughly Oxidized","Ore Either Replaces Carbonate Or Occupies Cavities Caused By Differential Solution Along The Fissures.","Queen Mine, New Silver Queen Mine","Vertical Fissures That Follow Major Fractures, Which Strike Nw, Ne And East - West.  Ordinarily Found In Two Sandy Dolomite Zones One Above Massive Quartzite In The Lower Deadwood And The Other Above An Upper Quartzite Located Near The Top Of The Formation.","Barari, Rachel A.",,,"Sills And Dikes","Plutonic Rock",,,"BIENIEWSKI, C. L., AND MCGREGOR, D. J., 1965 , MINERAL INDUSTRY OF SOUTH DAKOTA IN 1963 , SOUTH DAKOTA GEOLOGICAL SURVEY MINERALS REPORT 11US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688 .US GEOLOGICAL SURVEY, US BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16 .U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16  { BIENIEWSKI, C. L., AND MCGREGOR, D. J., 1964 , THE MINERAL INDUSTRY OF SOUTH DAKOTA IN 1962 , SOUTH DAKOTA GEOLOGICAL SURVEY MINERALS REPORT 10  { HOYT, C. D., 1972 , THE MINERAL INDUSTRY OF SOUTH DAKOTA IN 1970 , SOUTH DAKOTA GEOLOGICAL SURVEY MINERALS REPORT 17  { SMITH, M. C., AND KOCH, C., 1976 , THE MINERAL INDUSTRY OF SOUTH DAKOTA IN 1969 , SOUTH DAKOTA GEOLOGICAL SURVEY MINERALS REPORT 16 A",,,,,,,,
10055464,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055464",SD02016,,"Wasp No. 2 Mine",44.32413,-103.73918,NA,"United States","South Dakota",Lawrence,M,"Gold, Silver, Tungsten",,,Unknown,Replacement,S,"Past Producer","Gold, Scheelite, Silver, Wolframite",,,,Surface/Underground,,,,"Little Blue Mine","Fractures;  Basal Quartzite","Barari, Rachel A.",,,,,"Lead Dome",,"US GEOLOGICAL SURVEY, US BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16 .US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688 .US GEOLOGICAL SURVEY, US BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16 .  { US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688 .",,1894,,,,,,
10055465,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055465",SD02017,,"Belle Eldridge Gold Mines",44.36968,-103.70474,NA,"United States","South Dakota",Lawrence,M,"Gold, Silver, Lead, Zinc",Copper,,Unknown,Replacement,S,"Past Producer","Chalcopyrite, Galena, Gold, Silver","Dolomite, Pyrite, Pyrrhotite",,,,,,,"Deadwood Zinc and Lead Company, Helen Gould Claim",,"Barari, Rachel A.",,,"Quartz Monzonite Sill","Quartz Monzonite",,,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688 .US GEOLOGICAL SURVEY, US BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16 .US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA: PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688 .",,,,,,1890,,
10055480,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055480",SD02033,,"Custer Mine",44.33413,-103.6389,NA,"United States","South Dakota",Lawrence,M,"Silver, Lead",,,Unknown,Replacement,S,"Past Producer","Galena, Lead, Silver",,,,Underground,,"A Few Inches Of Soft Oxidized Ore Overlay The Quartzite In This Area.  The Quartzite Is Highly Impregnated With Oxides Of Manganese And Iron.",,"Double Rainbow Group","Upper Contact Zone Of The Deadwood Formation, Which Slopes To The Ne At 10 Deg","Barari, Rachel A.",,,,,,,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688",,,,,,,,
10055481,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055481",SD02034,,"Coletta Mine",44.31274,-103.65085,NA,"United States","South Dakota",Lawrence,M,"Silver, Lead",,,Unknown,Replacement,S,"Past Producer","Galena, Lead, Silver",,,,,,"Ore Is Thoroughly Oxidized",,,"Three Sets Of Vertical Fractures - N 45 Deg E, N 63 Deg E, And S 30 Deg E","Barari, Rachel A.",,,,,,,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688",,,,,,,,
10055482,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055482",SD02035,,"Comstock Mine",44.33718,-103.70113,NA,"United States","South Dakota",Lawrence,M,Tungsten,,,Unknown,Replacement,S,"Past Producer",Huebnerite,,,,,,,,"S. R. Smith Claim, Two Bit No. 1 and No. 2, Yellow Jacket","North-South Vertical Fractures And Cross Fractures.  { Two Bit Tunnel - Seven North-South Verticals Were Encountered;  Short Crosscuts Along Four Of Them Showed Little Mineralization.","Barari, Rachel A.",,Dolomite,,,,,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688 .",,1916,,,,,,
10055483,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055483",SD02036,,"Cora Mine",44.32607,-103.64474,NA,"United States","South Dakota",Lawrence,M,"Lead, Silver",,,Unknown,Replacement,S,"Past Producer","Galena, Lead, Silver",,,,,,,,,"Northeast Trending Vertical Fractures;  Lower Contact Ore Zone","Barari, Rachel A.",,,,,"Regional Dip Is To The Northeast",,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688",,,,,,,,
10055484,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055484",SD02037,,"Bion Fraction, Lehigh Claim",44.31829,-103.64724,NA,"United States","South Dakota",Lawrence,M,"Gold, Silver, Sulfur-Pyrite",,,Unknown,Placer,N,Occurrence,"Gold, Pyrite, Silver",,,,,,,,,,"Barari, Rachel A.",,,,,,,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA: PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688",,,,,,,,
