,dep_id,site_name,latitude,longitude,commodities,Gold,Silver,Lead,Copper,Mercury,Tungsten,Sulfur-Pyrite,Zinc,Iron,Sulfur,Barium-Barite,Antimony,Tellurium,Fluorine-Fluorite,Uranium,Tin,Tantalum,Lithium,Niobium,Manganese,Silica,Phosphorous-Phosphates,Limestone,Stone,Gypsum-Anhydrite,Sand/Gravel,Vanadium,Sodium,Molybdenum,Feldspar,Calcium,Talc-Soapstone
1,10055460,Alpine - Strawberry Mining Co.,44.41218,-103.69335,"Gold, ,  Mercury, , , , , , , , ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10009413,Double Rainbow Or Richmond - Sitting Bull,44.33329,-103.62557,"Zinc,  Gold,  Lead,  Silver,  ,  , , , , , ",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10055459,Silver Queen Mine,44.31635,-103.64196,"Silver,  Lead,  Gold,  , , , , , , , ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10055464,Wasp No. 2 Mine,44.32413,-103.73918,"Gold,  Silver,  Tungsten,  ,  , , , , , , ",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10055465,Belle Eldridge Gold Mines,44.36968,-103.70474,"Gold,  Silver,  Lead,  Zinc,  Copper,  , , , , , ",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10055484,"Bion Fraction, Lehigh Claim",44.31829,-103.64724,"Gold,  Silver,  Sulfur-Pyrite,  ,  , , , , , , ",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,10055486,Anaconda Mine,44.27413,-103.67168,"Gold,  ,  Lead,  Zinc,  Copper, , , , , , ",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10055487,Anchor Mountain Mine,44.3369,-103.63613,"Gold,  ,  , , , , , , , , ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10055488,Anaconda Mining Company,44.27774,-103.71446,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10055492,Bion Mine,44.3194,-103.65224,"Gold,  Silver,  Sulfur-Pyrite,  ,  , , , , , , ",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10055511,Monarch Mine,44.34385,-103.69724,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10055512,Montezuma and the Whizzers Mine,44.37052,-103.74335,"Sulfur-Pyrite,  Gold,  Copper,  , , , , , , , ",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10055516,Horseshoe - Comet Mine,44.32802,-103.63807,"Silver,  Sulfur-Pyrite,  Lead,  Gold,  Zinc,  Copper, , , , , ",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10055517,Merritt No. 1 Mine,44.33135,-103.63946,"Gold,  Lead,  Silver,  , , , , , , , ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10055525,Queen of the Hills Mine,44.35829,-103.72557,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10055538,Hoodoo - Union Hill Mine,44.33163,-103.67557,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10055544,Hayes Mine,44.31774,-103.64668,"Gold,  Lead,  Silver,  , , , , , , , ",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10055552,Oro Hondo Mine,44.33718,-103.74418,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10055570,Golden Crest Mine,44.33135,-103.64918,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10055571,Gold Mountain Mining Company,44.36579,-103.66946,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10055572,Olaf Seim Mine,44.36857,-103.74363,"Sulfur-Pyrite,  Gold,  Copper, , , , , , , , ",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
