"","site_name","latitude","longitude"
"1","Alpine - Strawberry Mining Co.",44.41218,-103.69335
"2","Double Rainbow Or Richmond - Sitting Bull",44.33329,-103.62557
"3","Silver Queen Mine",44.31635,-103.64196
"4","Wasp No. 2 Mine",44.32413,-103.73918
"5","Belle Eldridge Gold Mines",44.36968,-103.70474
"6","Bion Fraction, Lehigh Claim",44.31829,-103.64724
"7","Anaconda Mine",44.27413,-103.67168
"8","Anchor Mountain Mine",44.3369,-103.63613
"9","Anaconda Mining Company",44.27774,-103.71446
"10","Bion Mine",44.3194,-103.65224
"11","Monarch Mine",44.34385,-103.69724
"12","Montezuma and the Whizzers Mine",44.37052,-103.74335
"13","Horseshoe - Comet Mine",44.32802,-103.63807
"14","Merritt No. 1 Mine",44.33135,-103.63946
"15","Queen of the Hills Mine",44.35829,-103.72557
"16","Hoodoo - Union Hill Mine",44.33163,-103.67557
"17","Hayes Mine",44.31774,-103.64668
"18","Oro Hondo Mine",44.33718,-103.74418
"19","Golden Crest Mine",44.33135,-103.64918
"20","Gold Mountain Mining Company",44.36579,-103.66946
"21","Olaf Seim Mine",44.36857,-103.74363
"22","Rattlesnake Jack Mine",44.32885,-103.67168
"23","Deadwood-Heidelberg Mine",44.37302,-103.65946
"24","Susa Fractional Claim",44.35913,-103.72835
"25","Oro Fino Mine",44.34329,-103.67279
"26","Moulton Mine",44.35607,-103.69307
"27","Lexington Hill",44.36686,-103.71117
"28","Robin Mines",44.33806,-103.65557
"29","Anaconda",44.27716,-103.71057
"30","Langley Tunnel",44.32806,-103.67337
"31","Uncle Sam",44.27356,-103.66917
"32","Hester A",44.32246,-103.64867
"33","Rattlesnake Jack",44.32776,-103.67277
"34","Olaf Seim",44.37186,-103.74367
"35","Montezuma and the Whizzers M.S.1324",44.37056,-103.74387
"36","New Year's",44.31806,-103.64057
"37","Monarch  M.S.908",44.33606,-103.70417
"38","Commonwealth Mine",44.33136,-103.69117
"39","El Refugio",44.33806,-103.63887
"40","Hayes",44.31966,-103.64497
"41","Last Chance Mine",44.33386,-103.66447
"42","Golden Crest Mine",44.33136,-103.69117
"43","Gold Mountain Mining Company",44.36936,-103.66727
"44","Hardin Properties",44.35556,-103.69447
"45","Union Hill Shaft",44.33326,-103.66917
"46","Barton",44.33386,-103.62697
"47","Bion Mine",44.31966,-103.65227
"48","Gilt Edge Mine",44.33106,-103.67337
"49","Mascot Mining Co. Mine",44.37306,-103.66277
"50","Harrison",44.30136,-103.64337
