dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10008448,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008448",D000620,,"Moores, False Bottom Creek",44.36663,-103.81725,NA,"United States","South Dakota",Lawrence,M,Molybdenum,,,Unknown,,N,Occurrence,Molybdenite,,,,,,,,,,"King, Robert U., Mosier, Dan",,Shale,,,,,"KING, R.U., (UNPUB. DATA)",,,,,,,,
10055430,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055430",SD01968,,"Homestake Mine - 1945",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,S,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16",,,,,,,,
10055431,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055431",SD01969,,"Homestake Mine - 1946",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,Y,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16",,,,,,,,
10055432,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055432",SD01970,,"Homestake Mine - 1947",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,S,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16",,,,,,,,
10055433,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055433",SD01972,,"Homestake Mine - 1949",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,S,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16",,,,,,,,
10055434,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055434",SD01975,,"Homestake Mine - 1952",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,S,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16",,,,,,,,
10055435,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055435",SD01977,,"Homestake Mine - 1954",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,S,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16 { MULLEN, D. H., AND AGNEW, A. F., 1959 , THE MINERAL INDUSTRY OF SOUTH DAKOTA IN 1957 , SOUTH DAKOTA GEOLOGICAL SURVEY MINERALS REPORT 4",,,,,,,,
10055436,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055436",SD01978,,"Homestake Mine - 1955",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,S,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16  { MULLEN, D. H., AND AGNEW, A. F., 1959 , THE MINERAL INDUSTRY OF SOUTH DAKOTA IN 1957 , SOUTH DAKOTA GEOLOGICAL SURVEY MINERALS REPORT 4",,,,,,,,
10055437,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055437",SD01980,,"Homestake Mine - 1957",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,S,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16  { MULLEN, D. H., AND AGNEW, A. F., 1959 , THE MINERAL INDUSTRY OF SOUTH DAKOTA IN 1957 , SOUTH DAKOTA GEOLOGICAL SURVEY MINERALS REPORT 4",,,,,,,,
10055438,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055438",SD01982,,"Homestake Mine - 1959",44.36265,-103.79454,NA,"United States","South Dakota",Lawrence,M,Gold,Silver,,Unknown,,S,Producer,,,,,,,,,,,"Barari, Rachel A.",,,,,,,"U. S. GEOLOGICAL SURVEY, U. S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975 , MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16  { MULLEN, D. H., AND AGNEW, A. F., 1960 , THE MINERAL INDUSTRY OF SOUTH DAKOTA IN 1959 , SOUTH DAKOTA GEOLOGICAL SURVEY MINERALS REPORT 7",,,,,,,,
