dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10009788,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009788",D002994,,"Keenan Properties",44.38329,-104.03391,NA,"United States","South Dakota",Lawrence,M,"Tin, Tantalum, Niobium (Columbium), Tungsten, Lithium",,,Unknown,,L,Producer,Spodumene,,,,,,,,,,"Hasler, J. William",,"Schist,Pegmatite",,,,,"USGS BULL. 922",,,,,,,,
10055499,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055499",SD02056,,"Beaver Creek Mining Company",44.38857,-104.01225,NA,"United States","South Dakota",Lawrence,M,Tin,,,Unknown,,N,Occurrence,Tin,,,,Underground,,,,"Lineal Lodes",,"Barari, Rachel A.",,Syenite,,,,,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:   PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688 .SMITH, W. C., AND PAGE, L. R., 1941 , TIN-BEARING PEGMATITES OF THE TINTON DISTRICT, LAWRENCE COUNTY, SOUTH DAKOTA, US  GEOLOGICAL SURVEY BULLETIN 922-T.",,,,,,,,
10055553,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055553",SD02131,,"Winner Mine",44.39829,-104.02614,NA,"United States","South Dakota",Lawrence,M,Tin,"Gold, Silver",,Unknown,,S,"Past Producer","Gold, Silver, Tin",,,,Underground,,,,,,"Barari, Rachel A.",Schists,Schist,,,,,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688",,,,,,,,
10104199,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10104199",SD02057,,"Black Hills Tin Company",44.37932,-104.05256,NA,"United States","South Dakota",Lawrence,M,Tin,"Tantalum, Lithium, Gold, Niobium (Columbium)",,Unknown,,S,"Past Producer","Amblygonite, Cassiterite, Gold, Spodumene",,,,,,,,,Pegmatite,"Barari, Rachel A.",Schist;Intrusives,Pegmatite,Pegmatite,Pegmatite,,,"US BUREAU OF MINES, 1954 , BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:    PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688, P 7SMITH, W. C., AND PAGE, L. R., 1941 , TIN-BEARING PEGMATITES OF THE TINTON DISTRICT, LAWRENCE COUNTY, SOUTH DAKOTA,  US GEOLOGICAL SURVEY BULLETIN 922-T.SMITH, W. C., AND PAGE, L. R., 1941 , TIN-BEARING PEGMATITES OF THE TINTON DISTRICT, LAWRENCE COUNTY, SOUTH DAKOTA, US GEOLOGICAL SURVEY BULLETIN 922-T.",,,,,,1876,,
10104235,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10104235",SD02191,,"Rough and Ready Mine",44.37857,-104.05197,NA,"United States","South Dakota",Lawrence,B,Tin,"Lithium, Feldspar",Tantalum,Unknown,,S,"Past Producer","Amblygonite, Cassiterite, Columbite, Spodumene, Tantalite","Albite, Apatite, Muscovite, Oligoclase",,DIKE,,,,,,,"Barari, Rachel A.",,Pegmatite,Pegmatite,Pegmatite,,,"U.S. BUREAU OF MINES, 1954, BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688ROBERTS, W.L., AND RAPP, GEORGE, 1965, MINERALOGY OF THE BLACK HILLS, SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY BULLETIN 18",,,,,,,,
10104237,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10104237",SD02200,,"Giant-Volney Mine",44.37663,-104.04891,NA,"United States","South Dakota",Lawrence,B,"Tantalum, Lithium","Niobium (Columbium)","Feldspar, Tin",Unknown,,S,"Past Producer","Amblygonite, Cassiterite, Columbite, Feldspar, Lithiophilite, Spodumene, Tantalite","Albite, Apatite, Beryl, Microcline, Muscovite, Oligoclase, Quartz, Tourmaline",,"COALESCING DIKES",,,,,,"South End Of A Mass Of Coalescing Dikes","Barari, Rachel A.",,Pegmatite,Pegmatite,Pegmatite,,,"U.S. BUREAU OF MINES, 1954, BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688SMITH, W.C., AND PAGE, L.R., 1941, TIN-BEARING PEGMATITES OF THE TINTON DISTRICT, LAWRENCE COUNTRY, SOUTH DAKOTA:  U.S. GEOLOGICAL SURVEY BULLETIN 922-T, PAGE 595-630U.S. GEOLOGICAL SURVEY, U.S. BUREAU OF RECLAMATION, AND SOUTH DAKOTA GEOLOGICAL SURVEY, 1975, MINERAL AND WATER RESOURCES OF SOUTH DAKOTA, SOUTH DAKOTA GEOLOGICAL SURVEY BULLETIN 16U.S. BUREAU OF MINES, 1954, BLACK HILLS MINERAL ATLAS, SOUTH DAKOTA:  PART I, BUREAU OF MINES INFORMATION CIRCULAR 7688 { SMITH, W.C., AND PAGE, L.R., 1941, TIN BEARING PEGMATITES OF THE TINTON DISTRICT, LAWRENCE COUNTY, SOUTH DAKOTA:  U.S. GEOLOGICAL SURVEY BULLETIN 922 -T, PAGE 595-630",,,,,,,,
10129052,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10129052",,0460810017,"Spearfish Claim Gp",44.37716,-104.04028,NA,"United States","South Dakota",Lawrence,M,,,"Tin, Niobium (Columbium)",Surface,,,Prospect,,,"Cassiterite, Columbite",,,,,,"Claims - Van, Yosemite, Centaur,, Iron and Spearfish",,"Hite, Alan G.",,,,,,,"GARDNER, E D, 1939, TIN DEPOSITS OF THE BLACK HILLS, SOUTH DUSBM IC 7069,  P 62-4.PAGE, LINCOLN R, AND WARD C SMITH, 1941, TIN-DEARING PEGMATITHE TINTON DISTRICT, LAWRENCE CO, SOUTH DAKOTA. USGS BULLP 628-9.",,,,,,1934,,
10153264,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10153264",,0460810081,"Beaver Creek Mining Company",44.38996,-104.01368,NA,"United States","South Dakota",Lawrence,M,Tin,,,Underground,,,"Past Producer",,,,,,,,,"Lineal Lodes",,"Intermountain Field Operations Center (IFOC)",,,,,,,"US BUREAU OF MINES STAFF,1954,REG V,1 INFO CIRCULAR 7688 P 7",,,,,,,,
10153321,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10153321",,0460810088,"Black Hills Tin Company",44.37936,-104.05198,NA,"United States","South Dakota",Lawrence,M,Tin,,"Gold, Lithium, Tantalum",Surface,,,Producer,,,,,,,,,,,"Intermountain Field Operations Center (IFOC)",,,,,,,"US BUREAU OF MINES STAFF,1954,REG V,1 INFO CIRCULAR 7688 P 7TINTON MINING COMPANY-OWNERTINTON REDUCTION COMPANY-OWNER",,,,,,,,
10153684,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10153684",,0460810007,Cornelia,44.38416,-104.05338,NA,"United States","South Dakota",Lawrence,M,,,Tin,Surface,,,Prospect,,,"Cassiterite, Celestite, Feldspar",,,,,,,,"Hite, Alan G.",,,,,,,"GARDNER, E D, 1939, TIN DEPOSITS OF THE BLACK HILLS, SOUTH DUSBM IC 7069, P 65.",,,,,,1902,,
10157317,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10157317",,0560110210,"Bear Gulch Placer",44.38936,-104.05779,NA,"United States",Wyoming,Crook,M,Tin,,,Placer,,,"Past Producer",,,,,,,,,,,"South Dakota School of Mines",,,,,,,"WYO GEOL SURV BULL.50",,,,,,,,
